type,batch,cap,price_b,fee_per_stone_b,seed,completed_upgrades,rng_draws,successes,failures,success_chance_per_attempt,attempt_cost_b,observed_mean_b,observed_sample_sd_b,mean_standard_error_b,mean_ci95_low_b,mean_ci95_high_b,observed_median_b,observed_p95_b,observed_p99_b,observed_max_b,below_guarantee_count,equal_guarantee_count,above_guarantee_count,below_guarantee_fraction,equal_guarantee_fraction,above_guarantee_fraction,analytic_mean_b,analytic_sd_b,sample_mean_minus_analytic_b,mean_error_in_sample_standard_errors
faith,1,20,12,1,202609100001,1000000,19998227,1000000,18998227,0.05,13.0,259.976951,253.5217784550979,0.2535217784550979,259.48005744493145,260.4738445550685,182.0,767.0,1170.0,4121.0,622747,18897,358356,0.622747,0.018897,0.358356,260,253.41665296503305,-0.02304900000001453,-0.09091526629573884
faith,2,20,12,1,202609100002,1000000,10008251,1000000,9008251,0.1,26.0,260.214526,246.97993150392176,0.24697993150392175,259.73045422934814,260.6985977706518,182.0,754.0,1144.0,3406.0,612053,38765,349182,0.612053,0.038765,0.349182,260,246.65765749313357,0.214525999999978,0.8685968883936288
faith,3,20,12,1,202609100003,1000000,6654121,1000000,5654121,0.15,39.0,259.510719,238.86359335595552,0.23886359335595553,259.0425549598045,259.9788830401955,195.0,741.0,1131.0,3432.0,623532,0,376468,0.623532,0.0,0.376468,260,239.70815588961509,-0.4892810000000054,-2.0483699216183053
faith,4,20,12,1,202609100004,1000000,4998830,1000000,3998830,0.2,52.0,259.93916,231.89127298813315,0.23189127298813314,259.4846614566141,260.3936585433859,208.0,728.0,1092.0,3016.0,590003,82100,327897,0.590003,0.0821,0.327897,260,232.5510696599781,-0.060839999999984684,-0.26236433659622077
faith,5,20,12,1,202609100005,1000000,4005930,1000000,3005930,0.25,65.0,260.38545,225.3780390223457,0.22537803902234568,259.94371716060994,260.82718283939005,195.0,715.0,1040.0,3120.0,577050,105433,317517,0.57705,0.105433,0.317517,260,225.16660498395404,0.38544999999999163,1.710237615306322
faith,6,20,12,1,202609100006,1000000,3333329,1000000,2333329,0.3,78.0,259.999662,217.3461923182761,0.21734619231827612,259.57367129087925,260.42565270912075,156.0,702.0,1014.0,4056.0,656646,0,343354,0.656646,0.0,0.343354,260,217.53160689885965,-0.0003379999999992833,-0.0015551227118086564
faith,7,20,12,1,202609100007,1000000,2860995,1000000,1860995,0.35,91.0,260.350545,209.88431297890705,0.20988431297890706,259.9391793056414,260.7619106943586,182.0,637.0,1001.0,3094.0,576875,0,423125,0.576875,0.0,0.423125,260,209.6187014557623,0.350545000000011,1.6701819922827679
faith,8,20,12,1,202609100008,1000000,2502250,1000000,1502250,0.4,104.0,260.234,201.88306591879444,0.20188306591879443,259.83831646171063,260.6296835382893,208.0,624.0,1040.0,2912.0,639242,0,360758,0.639242,0.0,0.360758,260,201.39513400278568,0.23399999999998045,1.1590868156029726
faith,9,20,12,1,202609100009,1000000,2223541,1000000,1223541,0.45,117.0,260.154297,193.06705799883284,0.19306705799883284,259.77589251972114,260.53270148027883,234.0,702.0,936.0,2691.0,697138,0,302862,0.697138,0.0,0.302862,260,192.82116066448725,0.15429699999998547,0.7991886425333019
faith,10,20,12,1,202609100010,1000000,1999530,1000000,999530,0.5,130.0,259.9389,183.73253610733954,0.18373253610733953,259.5787908464414,260.2990091535586,260.0,650.0,910.0,2990.0,499968,250008,250024,0.499968,0.250008,0.250024,260,183.84776310850236,-0.06110000000001037,-0.332548612752587
