id,screenshot,kind,page,pages,row,unit_price_mesos,quantity,total_price_mesos,sale_date,time_left
mr337z0-1,mr337z0.png,historical_sale,1,12,1,9098888888,1,9098888888,2026-09-04,
mr337z0-2,mr337z0.png,historical_sale,1,12,2,9099999999,1,9099999999,2026-09-04,
mr337z0-3,mr337z0.png,historical_sale,1,12,3,9099999999,1,9099999999,2026-09-04,
mr337z0-4,mr337z0.png,historical_sale,1,12,4,9099999999,1,9099999999,2026-09-04,
mr337z0-5,mr337z0.png,historical_sale,1,12,5,9099999999,2,18199999998,2026-09-04,
mr337z0-6,mr337z0.png,historical_sale,1,12,6,9111111111,1,9111111111,2026-09-04,
mr337z0-7,mr337z0.png,historical_sale,1,12,7,9333222222,1,9333222222,2026-09-04,
mr337z0-8,mr337z0.png,historical_sale,1,12,8,9333333333,1,9333333333,2026-09-04,
mr337z0-9,mr337z0.png,historical_sale,1,12,9,9349999999,2,18699999998,2026-09-04,
jv9kt40-1,jv9kt40.png,historical_sale,2,12,1,9355555555,1,9355555555,2026-09-04,
jv9kt40-2,jv9kt40.png,historical_sale,2,12,2,9379889999,1,9379889999,2026-09-07,
jv9kt40-3,jv9kt40.png,historical_sale,2,12,3,9400000000,1,9400000000,2026-09-05,
jv9kt40-4,jv9kt40.png,historical_sale,2,12,4,9400000000,1,9400000000,2026-09-05,
jv9kt40-5,jv9kt40.png,historical_sale,2,12,5,9400000000,1,9400000000,2026-09-07,
jv9kt40-6,jv9kt40.png,historical_sale,2,12,6,9400000000,1,9400000000,2026-09-04,
jv9kt40-7,jv9kt40.png,historical_sale,2,12,7,9444333333,1,9444333333,2026-09-04,
jv9kt40-8,jv9kt40.png,historical_sale,2,12,8,9444444332,1,9444444332,2026-09-04,
jv9kt40-9,jv9kt40.png,historical_sale,2,12,9,9444444444,1,9444444444,2026-09-07,
899nqp6-1,899nqp6.png,historical_sale,6,12,1,9889999999,1,9889999999,2026-09-07,
899nqp6-2,899nqp6.png,historical_sale,6,12,2,9899999999,1,9899999999,2026-09-06,
899nqp6-3,899nqp6.png,historical_sale,6,12,3,9899999999,1,9899999999,2026-09-07,
899nqp6-4,899nqp6.png,historical_sale,6,12,4,9949999999,1,9949999999,2026-09-05,
899nqp6-5,899nqp6.png,historical_sale,6,12,5,9987654321,1,9987654321,2026-09-07,
899nqp6-6,899nqp6.png,historical_sale,6,12,6,9988888888,1,9988888888,2026-09-07,
899nqp6-7,899nqp6.png,historical_sale,6,12,7,9999888777,1,9999888777,2026-09-06,
899nqp6-8,899nqp6.png,historical_sale,6,12,8,9999997777,1,9999997777,2026-09-05,
899nqp6-9,899nqp6.png,historical_sale,6,12,9,9999999000,1,9999999000,2026-09-06,
kw59hqt-1,kw59hqt.png,historical_sale,11,12,1,12499899999,1,12499899999,2026-09-08,
kw59hqt-2,kw59hqt.png,historical_sale,11,12,2,12777777777,1,12777777777,2026-09-08,
kw59hqt-3,kw59hqt.png,historical_sale,11,12,3,13984999999,1,13984999999,2026-09-09,
kw59hqt-4,kw59hqt.png,historical_sale,11,12,4,13986766665,1,13986766665,2026-09-09,
kw59hqt-5,kw59hqt.png,historical_sale,11,12,5,14000000000,1,14000000000,2026-09-09,
kw59hqt-6,kw59hqt.png,historical_sale,11,12,6,14266666667,1,14266666667,2026-09-09,
kw59hqt-7,kw59hqt.png,historical_sale,11,12,7,14299998999,2,28599997998,2026-09-09,
kw59hqt-8,kw59hqt.png,historical_sale,11,12,8,14499999999,1,14499999999,2026-09-09,
kw59hqt-9,kw59hqt.png,historical_sale,11,12,9,14999999999,1,14999999999,2026-09-09,
s1bdnh2-1,s1bdnh2.png,active_ask,1,5,1,11999696969,1,11999696969,,47 hr 52 min
s1bdnh2-2,s1bdnh2.png,active_ask,1,5,2,11999999998,1,11999999998,,47 hr 58 min
s1bdnh2-3,s1bdnh2.png,active_ask,1,5,3,11999999999,19,227999999981,,47 hr 45 min
s1bdnh2-4,s1bdnh2.png,active_ask,1,5,4,13499999999,1,13499999999,,47 hr 10 min
s1bdnh2-5,s1bdnh2.png,active_ask,1,5,5,13500000000,1,13500000000,,46 hr 52 min
s1bdnh2-6,s1bdnh2.png,active_ask,1,5,6,13800000000,1,13800000000,,37 hr 55 min
s1bdnh2-7,s1bdnh2.png,active_ask,1,5,7,13888887999,1,13888887999,,36 hr 34 min
s1bdnh2-8,s1bdnh2.png,active_ask,1,5,8,13888888880,1,13888888880,,33 hr 11 min
s1bdnh2-9,s1bdnh2.png,active_ask,1,5,9,13888888888,1,13888888888,,30 hr 59 min
1kbts2x-1,1kbts2x.png,active_ask,2,5,1,13888888888,1,13888888888,,47 hr 20 min
1kbts2x-2,1kbts2x.png,active_ask,2,5,2,13999999999,2,27999999998,,46 hr 34 min
1kbts2x-3,1kbts2x.png,active_ask,2,5,3,14000000000,1,14000000000,,30 hr 42 min
1kbts2x-4,1kbts2x.png,active_ask,2,5,4,14000000000,20,280000000000,,47 hr 06 min
1kbts2x-5,1kbts2x.png,active_ask,2,5,5,14499999998,1,14499999998,,29 hr 41 min
1kbts2x-6,1kbts2x.png,active_ask,2,5,6,14499999999,1,14499999999,,29 hr 21 min
1kbts2x-7,1kbts2x.png,active_ask,2,5,7,14888888888,1,14888888888,,28 hr 42 min
1kbts2x-8,1kbts2x.png,active_ask,2,5,8,14888888888,16,238222222208,,46 hr 33 min
1kbts2x-9,1kbts2x.png,active_ask,2,5,9,14899999998,1,14899999998,,27 hr 13 min
